,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
90,2024-02-11,16:30,EGBB,Aston Villa,Man United,1,2,A,0,1,A,R Jones,23,17,10,5,9,7,10,8,3,2,0,0,2.132,3.762000000000001,3.096,1844.41186523,1807.6036377,43.729166666666664,87.27083333333333,5.458333333333333,Fog
91,2024-02-10,12:30,EGCC,Man City,Everton,2,0,H,0,0,D,J Brooks,19,5,3,1,6,11,9,0,0,2,0,0,1.19,7.236,12.548,2050.59985352,1726.26953125,43.375,91.41666666666669,2.9791666666666665,Fair
92,2024-02-10,15:00,EGGW,Luton,Sheffield United,1,3,A,0,2,A,C Kavanagh,20,7,5,3,7,12,13,1,1,2,0,0,1.7440000000000002,3.770000000000001,4.57,1637.33666992,1573.86950684,46.458333333333336,98.0625,5.104166666666667,Cloudy
93,2024-02-10,15:00,EGGP,Liverpool,Burnley,3,1,H,1,1,D,T Robinson,25,9,10,4,11,13,9,3,3,2,0,0,1.154,8.142,15.416,1946.54382324,1646.2869873,42.86363636363637,91.75,5.590909090909091,Fair
94,2024-02-10,15:00,EGLC,Fulham,Bournemouth,3,1,H,2,0,H,D England,7,25,6,4,11,11,1,14,1,2,0,0,2.354,3.5199999999999996,2.8340000000000005,1710.69848633,1705.50512695,49.416666666666664,87.85416666666667,5.0,Mostly Cloudy
95,2024-02-10,15:00,EGBB,Wolves,Brentford,0,2,A,0,1,A,S Hooper,17,9,5,6,11,9,7,4,2,3,0,0,2.088,3.59,3.344,1749.30358887,1737.77429199,45.104166666666664,91.79166666666669,4.375,Fair
96,2024-02-10,15:00,EGLC,Tottenham,Brighton,2,1,H,0,1,A,S Barrott,16,6,6,3,14,13,9,6,2,3,0,0,1.8020000000000005,4.17,3.784,1840.43725586,1802.41137695,49.416666666666664,87.85416666666667,5.0,Mostly Cloudy
97,2024-02-05,20:00,EGLL,Brentford,Man City,1,3,A,1,1,D,J Gillett,9,25,3,15,2,4,8,13,1,0,0,0,7.138,4.888,1.392,1741.53930664,2046.83496094,50.833333333333336,74.45833333333333,18.25,Cloudy
98,2024-02-04,16:30,EGLC,Arsenal,Liverpool,3,1,H,1,1,D,A Taylor,15,10,7,1,11,11,2,4,6,2,0,1,2.198,3.634,3.04,1920.33898926,1956.93505859,53.979166666666664,82.58333333333333,17.375,Cloudy
99,2024-02-04,14:00,EGCC,Man United,West Ham,3,0,H,1,0,H,A Madley,12,22,5,3,10,5,5,8,0,1,0,0,1.638,4.122,4.87,1796.1373291,1798.87097168,50.583333333333336,82.9375,14.625,Cloudy
100,2024-02-04,14:00,EGLC,Chelsea,Wolves,2,4,A,1,2,A,T Robinson,15,14,6,7,15,11,10,1,3,2,0,0,1.602,4.138,5.204,1777.43603516,1734.14880371,53.979166666666664,82.58333333333333,17.375,Cloudy
101,2024-02-03,17:30,EGCN,Sheffield United,Aston Villa,0,5,A,0,4,A,P Tierney,10,14,5,10,10,7,3,4,1,0,0,0,5.104,4.192,1.608,1581.72521973,1836.55615234,49.35287081339713,80.27083333333333,8.452570921985817,Fair
